"Document.ID","n.x","n.y","percent.misspelled"
"CMS-2017-0163-0312-0",130,11,0.0846153846153846
"CMS-2017-0163-0397-1",947,80,0.0844772967265048
"CMS-2017-0163-0086-0",640,54,0.084375
"CMS-2017-0163-1191-1",1047,88,0.0840496657115568
"CMS-2017-0163-0525-0",274,23,0.0839416058394161
"CMS-2017-0163-1149-1",490,41,0.0836734693877551
"CMS-2017-0163-1012-1",514,43,0.0836575875486381
"CMS-2017-0163-1160-1",646,54,0.0835913312693498
"CMS-2017-0163-1172-1",323,27,0.0835913312693498
"CMS-2017-0163-0242-0",144,12,0.0833333333333333
"CMS-2017-0163-0541-0",228,19,0.0833333333333333
"CMS-2017-0163-0715-0",36,3,0.0833333333333333
"CMS-2017-0163-0908-0",24,2,0.0833333333333333
"CMS-2017-0163-0964-0",48,4,0.0833333333333333
"CMS-2017-0163-0985-0",60,5,0.0833333333333333
"CMS-2017-0163-1163-7",348,29,0.0833333333333333
"CMS-2017-0163-1063-1",1637,136,0.0830788026878436
"CMS-2017-0163-0166-0",229,19,0.0829694323144105
"CMS-2017-0163-0556-0",133,11,0.0827067669172932
"CMS-2017-0163-0044-0",109,9,0.0825688073394495
"CMS-2017-0163-0240-0",97,8,0.0824742268041237
"CMS-2017-0163-0197-0",61,5,0.0819672131147541
"CMS-2017-0163-0548-0",171,14,0.0818713450292398
"CMS-2017-0163-0622-0",171,14,0.0818713450292398
"CMS-2017-0163-1171-1",1369,112,0.0818115412710007
"CMS-2017-0163-1028-0",49,4,0.0816326530612245
"CMS-2017-0163-0091-0",86,7,0.0813953488372093
"CMS-2017-0163-0901-0",445,36,0.0808988764044944
"CMS-2017-0163-0543-0",198,16,0.0808080808080808
"CMS-2017-0163-1087-0",297,24,0.0808080808080808
"CMS-2017-0163-0279-0",62,5,0.0806451612903226
"CMS-2017-0163-1116-1",2096,168,0.0801526717557252
"CMS-2017-0163-1163-3",4034,323,0.0800694100148736
"CMS-2017-0163-1059-1",2836,227,0.0800423131170663
"CMS-2017-0163-0098-0",25,2,0.08
"CMS-2017-0163-0618-0",25,2,0.08
"CMS-2017-0163-0799-0",100,8,0.08
"CMS-2017-0163-1119-1",3330,266,0.0798798798798799
"CMS-2017-0163-0131-0",288,23,0.0798611111111111
"CMS-2017-0163-0712-1",390,31,0.0794871794871795
"CMS-2017-0163-0833-1",416,33,0.0793269230769231
"CMS-2017-0163-0235-1",227,18,0.079295154185022
"CMS-2017-0163-0861-1",645,51,0.0790697674418605
"CMS-2017-0163-0559-0",253,20,0.0790513833992095
"CMS-2017-0163-0962-0",405,32,0.0790123456790123
"CMS-2017-0163-0390-0",114,9,0.0789473684210526
"CMS-2017-0163-0455-0",38,3,0.0789473684210526
"CMS-2017-0163-0502-0",38,3,0.0789473684210526
"CMS-2017-0163-1120-0",380,30,0.0789473684210526
"CMS-2017-0163-1166-1",6602,521,0.078915480157528
"CMS-2017-0163-0046-0",89,7,0.0786516853932584
"CMS-2017-0163-0171-0",433,34,0.0785219399538106
"CMS-2017-0163-0133-0",102,8,0.0784313725490196
"CMS-2017-0163-0607-0",102,8,0.0784313725490196
"CMS-2017-0163-0691-0",51,4,0.0784313725490196
"CMS-2017-0163-0953-0",268,21,0.0783582089552239
"CMS-2017-0163-0037-0",128,10,0.078125
"CMS-2017-0163-0468-0",205,16,0.0780487804878049
"CMS-2017-0163-0895-1",1907,148,0.0776088096486628
"CMS-2017-0163-0747-1",8449,655,0.0775239673334122
"CMS-2017-0163-0628-0",207,16,0.0772946859903382
"CMS-2017-0163-1109-1",1100,85,0.0772727272727273
"CMS-2017-0163-0595-0",298,23,0.0771812080536913
"CMS-2017-0163-0411-0",52,4,0.0769230769230769
"CMS-2017-0163-0412-0",273,21,0.0769230769230769
"CMS-2017-0163-0428-0",65,5,0.0769230769230769
"CMS-2017-0163-0616-0",13,1,0.0769230769230769
"CMS-2017-0163-0827-1",1898,146,0.0769230769230769
"CMS-2017-0163-1067-0",13,1,0.0769230769230769
"CMS-2017-0163-1078-1",169,13,0.0769230769230769
"CMS-2017-0163-1090-0",39,3,0.0769230769230769
"CMS-2017-0163-1124-1",2190,168,0.0767123287671233
"CMS-2017-0163-1204-0",105,8,0.0761904761904762
"CMS-2017-0163-1203-0",276,21,0.0760869565217391
"CMS-2017-0163-0874-0",304,23,0.0756578947368421
"CMS-2017-0163-0070-0",119,9,0.0756302521008403
"CMS-2017-0163-0399-0",119,9,0.0756302521008403
"CMS-2017-0163-0115-0",106,8,0.0754716981132075
"CMS-2017-0163-0346-0",53,4,0.0754716981132075
"CMS-2017-0163-0812-0",306,23,0.0751633986928105
